year,eco,eco codes.openings.name,Images
1886,"C25","Vienna Game, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21401&authkey=%21AEsiL9Huhai11eM&width=483&height=478"
1889,"C52","Italian Game, Evans Gambit, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21400&authkey=%21AG3-Ide4CDjFTSE&width=481&height=483"
1890,"C52","Italian Game, Evans Gambit, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21400&authkey=%21AG3-Ide4CDjFTSE&width=481&height=483"
1892,"C25","Vienna Game, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21401&authkey=%21AEsiL9Huhai11eM&width=483&height=478"
1894,"D40","Queen's Gambit Declined, Semi-Tarrasch Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21399&authkey=%21AFpKJQn3DGBjotk&width=483&height=482"
1896,"D53","Queen's Gambit Declined, Lasker Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"
1907,"D53","Queen's Gambit Declined, Lasker Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"
1908,"D02","London System, Poisoned Pawn Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21397&authkey=%21AL_By1sZjLAp05E&width=484&height=481"
1909,"B34","Sicilian Defense, Accelerated Dragon, Exchange Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21396&authkey=%21AGE5GaR4MZ6enmg&width=475&height=480"
1910,"C30","King's Gambit, Accepted, Eisenberg Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21395&authkey=%21ADOwqXRemaywmCc&width=481&height=477"
1921,"C66","Spanish Game, Berlin Defense, Closed Bernstein Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21392&authkey=%21AFvTLzOKK31unKs&width=481&height=482"
1927,"D51","Queen's Gambit Declined, Alekhine Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21390&authkey=%21AHmugW7SaWcZVS0&width=484&height=480"
1929,"C76","Spanish Game, Morphy Defense, Modern Steinitz Defense, Fianchetto Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21391&authkey=%21ABZsszHb-PjTVso&width=476&height=481"
1934,"E67","King's Indian Defense, Fianchetto Variation, Classical Fianchetto","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21389&authkey=%21AKbv_P-g_UqYGEQ&width=480&height=481"
1935,"C27","Bishop's Opening, Boden-Kieseritsky Gambit","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21411&authkey=%21AHgt2HuajtcvVxY&width=478&height=480"
1937,"E17","Queen's Indian Defense, Anti-Queen's Indian System","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21410&authkey=%21ACnynWukICXpFGw&width=482&height=478"
1948,"E32","Nimzo-Indian Defense, Classical Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21409&authkey=%21ANwfto98GcoMTn0&width=484&height=478"
1951,"D71","Neo-Gruenfeld Defense, Exchange Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21408&authkey=%21APHACUOTORXZ_Ig&width=481&height=483"
1954,"E69","King's Indian Defense, Fianchetto Variation, Classical Main Line","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21407&authkey=%21AOBA-BqRlRvfFCA&width=478&height=476"
1957,"C18","French Defense, Winawer Variation, Advance Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21406&authkey=%21AJHwC1euM9at9sc&width=481&height=481"
1958,"A05","King's Indian Attack, Smyslov Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21405&authkey=%21AEOggQYlH6fqN1M&width=478&height=476"
1960,"A87","Dutch Defense, Leningrad Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21402&authkey=%21AKerUIV_H5nNVCU&width=481&height=483"
1961,"B12","Caro-Kann Defense, Advance Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21403&authkey=%21AAf_Wf0auAVdAS4&width=481&height=479"
1963,"E19","Queen's Indian Defense, Classical Variation, Traditional Variation, Main Line","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21404&authkey=%21AJj8a34XksdSrw8&width=468&height=477"
1966,"E61","Indian Game, Kingside Fianchetto","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21424&authkey=%21AJmzmjqpJTaH-2c&width=479&height=484"
1969,"C92","Spanish Game, Closed Variations, Flohr System","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21423&authkey=%21ANuScma3Yv0hX98&width=481&height=482"
1972,"B68","Sicilian Defense, Richter-Rauzer Variation, Neo-Modern Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21422&authkey=%21ADiS32ShxY8Gmfo&width=477&height=477"
1978,"A43","Benoni Defense, Benoni Gambit Accepted","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21421&authkey=%21ANA0VT_JkBKLqkg&width=481&height=481"
1981,"D53","Queen's Gambit Declined, Lasker Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"
1984,"C42","Russian Game, Classical Attack","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21420&authkey=%21ABHkP3depoN_hr4&width=478&height=483"
1985,"D55","Queen's Gambit Declined, Anti-Tartakower Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21419&authkey=%21APIJ6o4UkFfIGRw&width=474&height=479"
1986,"D55","Queen's Gambit Declined, Anti-Tartakower Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21419&authkey=%21APIJ6o4UkFfIGRw&width=474&height=479"
1987,"D37","Queen's Gambit Declined, Barmen Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21418&authkey=%21ALMnuictFJMvQ4o&width=479&height=475"
1990,"E87","King's Indian Defense, Saemisch Variation, Bronstein Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21417&authkey=%21AFyUe8dlFytlEgQ&width=480&height=479"
1993,"A33","English Opening, Symmetrical Variation, Anti-Benoni Variation, Geller Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21416&authkey=%21AK8SKGr-zpCM4o8&width=478&height=481"
1995,"B01","Scandinavian Defense, Anderssen Counterattack","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21415&authkey=%21AMbzUbL15WsHJ2k&width=482&height=478"
1996,"E15","Queen's Indian Defense, Fianchetto Traditional","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21414&authkey=%21AIOkXJZmb3ZNq9s&width=475&height=478"
1998,"D47","Semi-Slav Defense, Meran Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21413&authkey=%21AHSd4kYbOXOMXWw&width=475&height=475"
2002,"C88","Spanish Game, Closed Variations, Balla Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21412&authkey=%21AHVep5vXDCo9gMo&width=477&height=478"
2005,"B42","Sicilian Defense, Kan Variation, Modern Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21435&authkey=%21AFJ8CGiVznHs57w&width=478&height=482"
2006,"D12","Slav Defense, Exchange Variation, Schallopp Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21434&authkey=%21AOQSPUFfw5oEXpI&width=479&height=478"
2007,"B90","Sicilian Defense, Najdorf Variation, Adams Attack","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21433&authkey=%21ANG7KpRzu-F3hyg&width=484&height=480"
2008,"E21","Nimzo-Indian Defense, Three Knights Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21432&authkey=%21ADs2AwlGi39PlIs&width=482&height=480"
2010,"D56","Queen's Gambit Declined, Lasker Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"
2012,"B30","Sicilian Defense, Closed Sicilian, Anti-Sveshnikov Variation, Kharlov-Kramnik Line","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21431&authkey=%21ANzJTt0lo3ONE70&width=482&height=480"
2013,"E25","Nimzo-Indian Defense, Saemisch Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21430&authkey=%21ACSbv_1UQLMJxec&width=481&height=484"
2014,"D97","Gruenfeld Defense, Russian Variation, Byrne (Simagin) Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21429&authkey=%21ABJGixfng9dHBNU&width=476&height=481"
2016,"C65","Spanish Game, Berlin Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21428&authkey=%21AN5kyJwnr1R8nhI&width=478&height=481"
2018,"B33","Sicilian Defense, Lasker-Pelikan Variation, Bird Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21425&authkey=%21AA7u1ADG2q6-llE&width=483&height=480"
2021,"C50","Four Knights Game, Italian Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21427&authkey=%21AOWcg5b2hvtGuiw&width=475&height=481"
2023,"C84","Spanish Game, Closed Variations","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21426&authkey=%21AGbia9ntjQMhhHw&width=479&height=474"
