Short Name,Full Name,Country
"Nepomniachtchi,I","Nepomniachtchi, Ian","Russia"
"Karjakin, Sergey","Karjakin, Sergey","Russia"
"Kramnik,V","Kramnik, Vladimir","Russia"
"Morozevich,A","Morozevich, Alexander","Russia"
"Grischuk,A","Grischuk, Alexander","Russia"
"Svidler,P","Svidler, Peter","Russia"
"Malakhov,V","Malakhov, Vladimir","Russia"
"Rublevsky,S","Rublevsky, Sergei","Russia"
"Sakaev,K","Sakaev, Konstantin","Russia"
"Zvjaginsev,V","Zvjaginsev, Vadim","Russia"
"Kobalia,M","Kobalia, Mikhail","Russia"
"Lastin,A","Lastin, Alexander","Russia"
"Kharlov,A","Kharlov, Andrei","Russia"
"Inarkiev,E","Inarkiev, Ernesto","Russia"
"Galkin,A","Galkin, Alexander","Russia"
"Dreev,A","Dreev, Alexey","Russia"
"Motylev,A","Motylev, Alexander","Russia"
"Landa,K","Landa, Konstantin","Russia"
"Dolmatov,S","Dolmatov, Sergey","Russia"
"Karjakin,Sergey","Karjakin, Sergey","Russia"
"Volkov,S1","Volkov, Sergey","Russia"
"Alekseev,Evgeny","Alekseev, Evgeny","Russia"
"Tiviakov,S","Tiviakov, Sergei","Russia"
"Smirnov,P","Smirnov, Pavel","Russia"
"Bareev,E","Bareev, Evgeny","Russia"
"Kobalija,M","Kobalija, Mihail","Russia"
"Volkov,S","Volkov, Sergey","Russia"
"Pigusov,E","Pigusov, Evgenij","Russia"
"Karpov,An","Karpov, Anatoly","Russia"
"Khalifman,A","Khalifman, Alexander","Russia"
"Kiseleva,N","Kiseleva, Nadezhda","Russia"
"Stepovaia Dianchenko,T","Stepovaia-Dianchenko, Tatiana","Russia"
"Prudnikova,S","Prudnikova, Svetlana","Russia"
"Shovunov,B","Shovunov, Boris","Russia"
"Vlassov,N","Vlassov, Nikolai","Russia"
"Aseev,K","Aseev, Konstantin","Russia"
"Shipov,S","Shipov, Sergei","Russia"
"Kasparov,G","Kasparov, Garry","Russia"
"Bezgodov,A","Bezgodov, Alexei","Russia"
"Rustemov,A","Rustemov, Alexander","Russia"
"Rytshagov,M","Rytshagov, Mikhail","Russia"
"Tregubov,P","Tregubov, Pavel","Russia"
"Kobalija, Mihail","Kobalija, Mihail","Russia"
"Dolmatov, Sergey","Dolmatov, Sergey","Russia"
"Dreev, Alexey","Dreev, Alexey","Russia"
"Khalifman, Alexander","Khalifman, Alexander","Russia"
"Tiviakov, Sergei","Tiviakov, Sergei","Russia"
"Bareev, Evgeny","Bareev, Evgeny","Russia"
"Sakaev, Konstantin","Sakaev, Konstantin","Russia"
"Salov, Valery","Salov, Valery","Russia"
"Shipov, Sergei","Shipov, Sergei","Russia"
"Svidler, Peter","Svidler, Peter","Russia"
"Rublevsky, Sergei","Rublevsky, Sergei","Russia"
"Kramnik, Vladimir","Kramnik, Vladimir","Russia"
"Zvjaginsev, Vadim","Zvjaginsev, Vadim","Russia"
"Fominyh, Alexander","Fominyh, Alexander","Russia"
"Smyslov, Vassily","Smyslov, Vassily","Russia"
"Umgaev, Alexander","Umgaev, Alexander","Russia"
"Nenashev, Alexander","Nenashev, Alexander","Russia"
"Morozevich, Alexander","Morozevich, Alexander","Russia"
"Epishin, Vladimir","Epishin, Vladimir","Russia"
"Karpov, Anatoly","Karpov, Anatoly","Russia"
"Kasparov, Gary","Kasparov, Gary","Russia"
"Spassky, Boris V","Spassky, Boris","Russia"
"Botvinnik, Mikhail","Botvinnik, Mikhail","Russia"
"Alekhine, Alexander","Alekhine, Alexander","Russia"
"Chigorin, Mikhail","Chigorin, Mikhail","Russia"
"Carlsen,M","Carlsen, Magnus","Norway"
"Caruana, Fabiano","Caruana, Fabiano","United States"
"Carlsen, Magnus","Carlsen, Magnus","Norway"
"Anand, Viswanathan","Anand, Viswanathan","India"
"Anand,V","Anand, Viswanathan","India"
"Gelfand,B","Gelfand, Boris","Israel"
"Gelfand, Boris","Gelfand, Boris","Israel"
"Topalov,V","Topalov, Veselin","Bulgaria"
"Aronian,L","Aronian, Levon","Armenia"
"Leko,P","Leko, Peter","Hungary"
"Polgar,Ju","Polgar, Judit","Hungary"
"Adams,Mi","Adams, Michael","England"
"Kasimdzhanov,R","Kasimdzhanov, Rustam","Uzbekistan"
"Solomon,K","Solomon, Kenny","South Africa"
"Ivanchuk,V","Ivanchuk, Vassily","Ukraine"
"Kadhi,H","Kadhi, Hichem","Algeria"
"Dableo,R","Dableo, Ronald","Philippines"
"Sokolov,I","Sokolov, Ivan","Bosnia and Herzegovina"
"Tissir,M","Tissir, Mohamed","Morocco"
"Akopian,Vl","Akopian, Vladimir","Armenia"
"Garcia Palermo,C","Garcia Palermo,","Argentina"
"Mahjoob,M","Mahjoob, Morteza","Iran"
"Bacrot,E","Bacrot, Etienne","France"
"Johansen,D","Johansen, Darryl","Australia"
"Bartel,Mat","Bartel, Mateusz","Poland"
"Aleksandrov,A","Aleksandrov, Aleksej","Belarus"
"Barsov,A","Barsov, Alexei","Uzbekistan"
"Vallejo Pons,F","Vallejo Pons,","Spain"
"Paragua,M","Paragua, Mark","Philippines"
"Kritz,L","Kritz, Leonid","Germany"
"Mamedyarov,S","Mamedyarov, Shakhriyar","Azerbaijan"
"Barua,D","Barua, Dibyendu","India"
"Ramirez,Al","Ramirez, Alejandro","United States"
"Van Wely,L","Van Wely,","Netherlands"
"Hamdouchi,H","Hamdouchi, Hichem","Morocco"
"Vescovi,G","Vescovi, Giovanni","Brazil"
"Acs,P","Acs, Peter","Hungary"
"Movsesian,S","Movsesian, Sergei","Armenia"
"Campora,D","Campora, Daniel","Argentina"
"Vaganian,R","Vaganian, Rafael","Armenia"
"Wojtkiewicz,A","Wojtkiewicz, Aleksander","Poland"
"Gagunashvili,M","Gagunashvili, Merab","Georgia"
"Zhang Zhong","Zhang Zhong","China"
"Sulskis,S","Sulskis, Sarunas","Lithuania"
"Moiseenko,A","Moiseenko, Alexander","Ukraine"
"Al Modiahki,M","Al Modiahki,","Qatar"
"Nakamura,H","Nakamura, Hikaru","United States"
"Nielsen,PH","Nielsen, Peter","Denmark"
"Morovic Fernandez,I","Morovic Fernandez,","Chile"
"Kozul,Z","Kozul, Zdenko","Croatia"
"Kotsur,P","Kotsur, Pavel","Kazakhstan"
"Anastasian,A","Anastasian, Ashot","Armenia"
"Vladimirov,E","Vladimirov, Evgeny","Kazakhstan"
"Adianto,U","Adianto, Utut","Indonesia"
"Jobava,Ba","Jobava, Baadur","Georgia"
"Sargissian,G","Sargissian, Gabriel","Armenia"
"Krasenkow,M","Krasenkow, Michal","Poland"
"Harikrishna,P","Harikrishna, Pentala","India"
"Kotronias,V","Kotronias, Vasilios","Greece"
"Agrest,E","Agrest, Evgenij","Sweden"
"Bruzon,L","Bruzon, Lazaro","Cuba"
"Abulhul,T","Abulhul, Tarik","Libya"
"Asabri,Hu","Asabri, Huda","Libya"
"Arab,A","Arab, Adlane","Algeria"
"Short,N","Short, Nigel","England"
"Haznedaroglu,K","Haznedaroglu, Kivanc","Turkey"
"Nisipeanu,LD","Nisipeanu, Liviu-Dieter","Romania"
"Simutowe,A","Simutowe, Amon","Zambia"
"Gonzalez Garcia,J","Gonzalez Garcia,","Mexico"
"Ye Jiangchuan","Ye Jiangchuan","China"
"Azmaiparashvili,Z","Azmaiparashvili, Zurab","Georgia"
"Charbonneau,P","Charbonneau, Pascal","Canada"
"Gurevich,M","Gurevich, Mikhail","Turkey"
"Adly,A","Adly, Ahmed","Egypt"
"Radjabov,T","Radjabov, Teimour","Azerbaijan"
"El Gindy,E","El Gindy,","Egypt"
"Beliavsky,A","Beliavsky, Alexander","Slovenia"
"Vasquez,R","Vasquez, Rodrigo","Chile"
"Bologan,V","Bologan, Viktor","Moldova"
"Mastrovasilis,D","Mastrovasilis, Dimitrios","Greece"
"Sasikiran,K","Sasikiran, Krishnan","India"
"Neverov,V","Neverov, Valeriy","Ukraine"
"Graf,A","Graf, Alexander","Germany"
"Lima,Da","Lima, Darcy","Brazil"
"Ivanov,AV USA","Ivanov, Alexander","United States"
"Guseinov,G","Guseinov, Gadir","Azerbaijan"
"Nikolic,Pr","Nikolic, Predrag","Bosnia and Herzegovina"
"Filippov,Va","Filippov, Valerij","Uzbekistan"
"Ghaem Maghami,E","Ghaem Maghami,","Iran"
"Georgiev,Ki","Georgiev, Kiril","Bulgaria"
"Lputian,S","Lputian, Smbat","Armenia"
"Leitao,R","Leitao, Rafael","Brazil"
"Macieja,B","Macieja, Bartlomiej","Poland"
"Almasi,Z","Almasi, Zoltan","Hungary"
"Ganguly,S","Ganguly, Surya","India"
"Iordachescu,V","Iordachescu, Viorel","Moldova"
"Dao Thien Hai","Dao Thien","Vietnam"
"Sadvakasov,D","Sadvakasov, Darmen","Kazakhstan"
"Kempinski,R","Kempinski, Robert","Poland"
"Bu Xiangzhi","Bu Xiangzhi","China"
"Ni Hua","Ni Hua","China"
"Felgaer,R","Felgaer, Ruben","Argentina"
"Dautov,R","Dautov, Rustem","Germany"
"Dominguez,L","Dominguez Perez,","Cuba"
"Milos,G","Milos, Gilberto","Brazil"
"Xu Jun","Xu Jun","China"
"Kacheishvili,G","Kacheishvili, Giorgi","Georgia"
"Asrian,K","Asrian, Karen","Armenia"
"Delchev,A","Delchev, Aleksander","Bulgaria"
"Elarbi,A","Elarbi, Abobker","Libya"
"Neelotpal,D","Neelotpal, Das","India"
"Tkachiev,V","Tkachiev, Vladislav","Kazakhstan"
"Kudrin,S","Kudrin, Sergey","United States"
"Ponomariov,R","Ponomariov, Ruslan","Ukraine"
"Lautier,J","Lautier, Joel","France"
"Avrukh,B","Avrukh, Boris","Israel"
"Korchnoi,V","Korchnoi, Viktor","Switzerland"
"Christiansen,L","Christiansen, Larry","United States"
"Gulko,B","Gulko, Boris","United States"
"Conquest,S","Conquest, Stuart","England"
"Kaidanov,G","Kaidanov, Gregory","United States"
"Yermolinsky,A","Yermolinsky, Alex","United States"
"Lesiege,A","Lesiege, Alexandre","Canada"
"Ehlvest,J","Ehlvest, Jaan","Estonia"
"Malakhatko,V","Malakhatko, Vadim","Belgium"
"Cvitan,O","Cvitan, Ognjen","Croatia"
"Savchenko,S","Savchenko, Stanislav","Ukraine"
"Gdanski,J","Gdanski, Jacek","Poland"
"Belkhodja,S","Belkhodja, Slim","Tunisia"
"Sutovsky,E","Sutovsky, Emil","Israel"
"Volokitin,A","Volokitin, Andrei","Ukraine"
"Zapata,A","Zapata, Alonso","Colombia"
"Yu Shaoteng","Yu Shaoteng","China"
"El Taher,F","El Taher,","Egypt"
"Kobese,W","Kobese, Watu","South Africa"
"Nguyen Anh Dung","Nguyen Anh","Vietnam"
"Psakhis,L","Psakhis, Lev","Israel"
"Milov,V","Milov, Vadim","Switzerland"
"Luther,T","Luther, Thomas","Germany"
"Zhang Pengxiang","Zhang Pengxiang","China"
"Baklan,V","Baklan, Vladimir","Ukraine"
"Eingorn,V","Eingorn, Viacheslav","Ukraine"
"Touzane,O","Touzane, Olivier","Morocco"
"Khenkin,I","Khenkin, Igor","Germany"
"Benjamin,Joe","Benjamin, Joel","United States"
"Mohota,N","Mohota, Nisha","India"
"Arakhamia,K","Arakhamia-Grant, Ketevan","Georgia"
"Xu Yuanyuan","Xu Yuanyuan","China"
"Foisor,C","Foisor, Cristina-Adela","Romania"
"Baginskaite,C","Baginskaite, Camilla","Lithuania"
"Zielinska,Mar","Zielinska, Marta","Poland"
"Paehtz,E","Paehtz, Elisabeth","Germany"
"Ciuksyte,D","Ciuksyte, Dagne","Lithuania"
"Pina,S","Pina, Sulennis","Cuba"
"Gu Xiaobing","Gu Xiaobing","China"
"Gaprindashvili,N","Gaprindashvili, Nona","Georgia"
"Radziewicz,I","Radziewicz, Iweta","Poland"
"Wang Yu","Wang Yu","China"
"Sarthou,G","Sarthou, Gregory","France"
"Gluzman,M","Gluzman, Mikhail","Ukraine"
"Pierrot,F","Pierrot, Facinet","Guinea"
"Shirov,A","Shirov, Alexei","Latvia"
"Smirin,I","Smirin, Ilia","Israel"
"Safin,S","Safin, Shukhrat","Uzbekistan"
"Fedorov,Alex","Fedorov, Alexei","Belarus"
"Goldin,A","Goldin, Alexander","United States"
"Gurevich,D","Gurevich, Dmitry","United States"
"Shabalov,A","Shabalov, Alexander","United States"
"Timoshenko,G","Timoshenko, Georgy","Ukraine"
"Liang Chong","Liang Chong","China"
"Nataf,IA","Nataf, Igor-Alexandre","France"
"Ivanov,AV","Ivanov, Alexander","United States"
"Gyimesi,Z","Gyimesi, Zoltan","Hungary"
"Cabrera,A","Cabrera, Alexis","Cuba"
"Iuldachev,S","Iuldachev, Saidali","Uzbekistan"
"Rizouk,A","Rizouk, Aimen","Algeria"
"Rogozenko,D","Rogozenko, Dorian","Romania"
"Atalik,S","Atalik, Suat","Turkey"
"Hoffman,A","Hoffman, Alejandro","Argentina"
"Li Wenliang","Li Wenliang","China"
"Supatashvili,K","Supatashvili, Keti","Georgia"
"Zeliakov,Nugzar","Zeliakov, Nugzar","Georgia"
"Chernin,A","Chernin, Alexander","Hungary"
"Kunte,A","Kunte, Abhijit","India"
"Dizdarevic,E","Dizdarevic, Emir","Bosnia and Herzegovina"
"Villamayor,B","Villamayor, Benito","Paraguay"
"Fiorito,F","Fiorito, Fabian","Argentina"
"Zaja,I","Zaja, Ivan","Croatia"
"Hakki,I","Hakki, Imad","Lebanon"
"Nevednichy,V","Nevednichy, Vladislav","Romania"
"Hernandez,Gi","Hernandez, Gilberto","Mexico"
"Serper,G","Serper, Grigory","United States"
"Godena,M","Godena, Michele","Italy"
"Nogueiras,J","Nogueiras, Jesus","Cuba"
"Lutz,C","Lutz, Christopher","Germany"
"Wohl,A","Wohl, Aleksandar","Australia"
"Speelman,J","Speelman, Jonathan","England"
"Minasian,Art","Minasian, Artashes","Armenia"
"Labib,I","Labib, Ibrahim","Egypt"
"Utnasunov,A","Utnasunov, Alexei","Uzbekistan"
"Piket,Je","Piket, Jeroen","Netherlands"
"Blehm,P","Blehm, Pawel","Poland"
"Stefansson,H","Stefansson, Hannes","Iceland"
"Onischuk,Al","Onischuk, Alexander","United States"
"Bagheri,A","Bagheri, Amir","Iran"
"Kveinys,A","Kveinys, Aloyzas","Lithuania"
"Hansen,SuB","Hansen, Sune","Denmark"
"Akopian,V","Akopian, Vladimir","Armenia"
"Peng Xiaomin","Peng Xiaomin","China"
"Wahls, Matthias","Wahls, Matthias","Germany"
"Andersson, Ulf","Andersson, Ulf","Sweden"
"Aleksandrov, Aleksej","Aleksandrov, Aleksej","Belarus"
"Antonio, Rogelio Jr","Antonio, Rogelio","Philippines"
"Akesson, Ralf","Akesson, Ralf","Sweden"
"Adianto, Utut","Adianto, Utut","Indonesia"
"Lautier, Joel","Lautier, Joel","France"
"Nielsen, Peter Heine","Nielsen, Peter","Denmark"
"Nisipeanu, Liviu Dieter","Nisipeanu, Liviu","Romania"
"Tkachiev, Vladislav","Tkachiev, Vladislav","Kazakhstan"
"Psakhis, Lev","Psakhis, Lev","Israel"
"Ricardi, Pablo","Ricardi, Pablo","Argentina"
"Shaked, Tal","Shaked, Tal","United States"
"Sokolov, Ivan","Sokolov, Ivan","Bosnia and Herzegovina"
"Ivanov, Alexander","Ivanov, Alexander","United States"
"Kasimdzhanov, Rustam","Kasimdzhanov, Rustam","Uzbekistan"
"Aronian, Levon","Aronian, Levon","Armenia"
"Barua, Dibyendu","Barua, Dibyendu","India"
"Bouaziz, Slim","Bouaziz, Slim","Tunisia"
"Asrian, Karen","Asrian, Karen","Armenia"
"Al Modiahki, Mohamad","Al Modiahki,","Qatar"
"Spraggett, Kevin","Spraggett, Kevin","Canada"
"Zubarev, Alexander","Zubarev, Alexander","Ukraine"
"Feldman, Vladimir","Feldman, Vladimir","Uzbekistan"
"Chiburdanidze, Maia","Chiburdanidze, Maia","Georgia"
"Gurevich, Dmitry","Gurevich, Dmitry","United States"
"Gulko, Boris F","Gulko, Boris","United States"
"Ehlvest, Jaan","Ehlvest, Jaan","Estonia"
"Fridman, Daniel","Fridman, Daniel","Germany"
"Mohamed, Esam Ahmed Nagib","Mohamed, Esam","Nagib  Egypt"
"Nijboer, Friso","Nijboer, Friso","Netherlands"
"Rozentalis, Eduardas","Rozentalis, Eduardas","Lithuania"
"Milov, Vadim","Milov, Vadim","Switzerland"
"Ponomariov, Ruslan","Ponomariov, Ruslan","Ukraine"
"Cela, Altin","Cela, Altin","Albania"
"Akopian, Vladimir","Akopian, Vladimir","Armenia"
"Benjamin, Joel","Benjamin, Joel","United States"
"Becerra Rivero, Julio","Becerra Rivero,","Cuba"
"Bauer, Christian","Bauer, Christian","France"
"De Firmian, Nick E","De Firmian,","E  United States"
"Dizdar, Goran","Dizdar, Goran","Croatia"
"Djuric, Stefan","Djuric, Stefan","Serbia"
"Hoffman, Alejandro","Hoffman, Alejandro","Argentina"
"Kobese, Watu","Kobese, Watu","South Africa"
"Kotronias, Vasilios","Kotronias, Vasilios","Greece"
"Stefansson, Hannes","Stefansson, Hannes","Iceland"
"Babula, Vlastimil","Babula, Vlastimil","Czech Republic"
"Zelcic, Robert","Zelcic, Robert","Croatia"
"Kozak, Alexander","Kozak, Alexander","Ukraine"
"Kudrin, Sergey","Kudrin, Sergey","United States"
"Magem Badals, Jorge","Magem Badals,","Spain"
"Miles, Anthony J","Miles, Anthony","England"
"Milos, Gilberto","Milos, Gilberto","Brazil"
"Yermolinsky, Alex","Yermolinsky, Alex","United States"
"Zapata, Alonso","Zapata, Alonso","Colombia"
"Reinderman, Dimitri","Reinderman, Dimitri","Netherlands"
"Rodriguez, Andres","Rodriguez, Andres","Uruguay"
"Sadvakasov, Darmen","Sadvakasov, Darmen","Kazakhstan"
"Speelman, Jonathan S","Speelman, Jonathan","England"
"Macieja, Bartlomiej","Macieja, Bartlomiej","Poland"
"Kotsur, Pavel","Kotsur, Pavel","Kazakhstan"
"Smirin, Ilia","Smirin, Ilia","Israel"
"Timman, Jan H","Timman, Jan","Netherlands"
"Short, Nigel D","Short, Nigel","England"
"Shirov, Alexei","Shirov, Alexei","Latvia"
"Almasi, Zoltan","Almasi, Zoltan","Hungary"
"Azmaiparashvili, Zurab","Azmaiparashvili, Zurab","Georgia"
"Georgiev, Kiril","Georgiev, Kiril","Bulgaria"
"Hamdouchi, Hichem","Hamdouchi, Hichem","Morocco"
"Ivanchuk, Vassily","Ivanchuk, Vassily","Ukraine"
"Kamsky, Gata","Kamsky, Gata","United States"
"Kortschnoj, Viktor","Kortschnoj, Viktor","Switzerland"
"Krasenkow, Michal","Krasenkow, Michal","Poland"
"Leitao, Rafael","Leitao, Rafael","Brazil"
"Polgar, Judit","Polgar, Judit","Hungary"
"Movsesian, Sergei","Movsesian, Sergei","Armenia"
"Adams, Michael","Adams, Michael","England"
"Beliavsky, Alexander G","Beliavsky, Alexander","Slovenia"
"Fedorov, Alexei","Fedorov, Alexei","Belarus"
"Sadler, Matthew","Sadler, Matthew","England"
"Topalov, Veselin","Topalov, Veselin","Bulgaria"
"Leko, Peter","Leko, Peter","Hungary"
"Alterman, Boris","Alterman, Boris","Israel"
"Chernin, Alexander","Chernin, Alexander","Hungary"
"Christiansen, Larry Mark","Christiansen, Larry","United States"
"Giorgadze, Giorgi","Giorgadze, Giorgi","Georgia"
"Glek, Igor V","Glek, Igor","Germany"
"Hansen, Curt","Hansen, Curt","United States"
"Hjartarson, Johann","Hjartarson, Johann","Iceland"
"Gretarsson, Helgi Ass","Gretarsson, Helgi","Iceland"
"Hoeksema, Hendrik Pieter","Hoeksema, Hendrik","Netherlands"
"Malaniuk, Vladimir P","Malaniuk, Vladimir","Ukraine"
"Luther, Thomas","Luther, Thomas","Germany"
"Petursson, Margeir","Petursson, Margeir","Iceland"
"Slobodjan, Roman","Slobodjan, Roman","Germany"
"Seirawan, Yasser","Seirawan, Yasser","United States"
"Sokolov, Andrei","Sokolov, Andrei","Bosnia and Herzegovina"
"Sutovskij, Emil","Sutovskij, Emil","Israel"
"Van der Wiel, John TH","Van der","John TH  Netherlands"
"Wells, Peter K","Wells, Peter","England"
"Bacrot, Etienne","Bacrot, Etienne","France"
"Wang Zili","Wang Zili","China"
"Sulskis, Sarunas","Sulskis, Sarunas","Lithuania"
"Oll, Lembit","Oll, Lembit","Estonia"
"Murshed, Niaz","Murshed, Niaz","Bangladesh"
"Van der Sterren, Paul","Van der","Paul  Netherlands"
"Miladinovic, Igor","Miladinovic, Igor","Serbia"
"Lerner, Konstantin Z","Lerner, Konstantin","Kazakhstan"
"Portisch, Lajos","Portisch, Lajos","Hungary"
"Istratescu, Andrei","Istratescu, Andrei","Romania"
"Illescas Cordoba, Miguel","Illescas Cordoba,","Spain"
"Hracek, Zbynek","Hracek, Zbynek","Czech Republic"
"Hernandez, Gilberto","Hernandez, Gilberto","Mexico"
"Granda Zuniga, Julio E","Granda Zuniga,","E  Peru"
"Garcia, Gildardo","Garcia, Gildardo","Colombia"
"Bologan, Viktor","Bologan, Viktor","Moldova"
"Anastasian, Ashot","Anastasian, Ashot","Armenia"
"Kurajica, Bojan","Kurajica, Bojan","Bosnia and Herzegovina"
"Kindermann, Stefan","Kindermann, Stefan","Germany"
"Morovic Fernandez, Ivan","Morovic Fernandez,","Chile"
"Van Wely, Loek","Van Wely,","Netherlands"
"Nikolic, Predrag","Nikolic, Predrag","Bosnia and Herzegovina"
"Kaidanov, Grigory S","Kaidanov, Grigory","United States"
"Vaganian, Rafael A","Vaganian, Rafael","Armenia"
"Piket, Jeroen","Piket, Jeroen","Netherlands"
"Jussupow, Artur","Jussupow, Artur","Germany"
"Fischer, Robert James","Fischer, Robert","United States"
"Petrosian, Tigran V","Petrosian, Tigran","Armenia"
"Tal, Mihail","Tal, Mihail","Latvia"
"Bronstein, David I","Bronstein, David","Soviet Union"
"Euwe, Max","Euwe, Max","Netherlands"
"Keres, Paul","Keres, Paul","Estonia"
"Reshevsky, Samuel Herman","Reshevsky, Samuel","United States"
"Bogoljubow, Efim","Bogoljubow, Efim","Germany"
"Capablanca, Jose Raul","Capablanca, Jose","Cuba"
"Lasker, Emanuel","Lasker, Emanuel","Germany"
"Schlechter, Carl","Schlechter, Carl","Austria"
"Janowsky, Dawid Markelowicz","Janowsky, Dawid","Poland"
"Tarrasch, Siegbert","Tarrasch, Siegbert","Germany"
"Marshall, Frank James","Marshall, Frank","United States"
"Steinitz, William","Steinitz, William","Czech Republic"
"Gunsberg, Isidor","Gunsberg, Isidor","Hungary"
"Zukertort, Johannes Hermann","Zukertort, Johannes","Poland"
